no;date;temp;light;comment
1;04.03.19 02:30:01PM;25,902;0;
2;04.03.19 02:30:08PM;;;Protokolliert
3;04.03.19 04:30:01PM;18,521;172,2;
4;04.03.19 06:30:01PM;19,282;86,1;
5;04.03.19 08:30:01PM;19,567;0;
6;04.03.19 10:30:01PM;19,472;0;
7;04.04.19 12:30:01AM;19,377;0;
8;04.04.19 02:30:01AM;18,996;0;
9;04.04.19 04:30:01AM;18,616;0;
10;04.04.19 06:30:01AM;18,236;0;
11;04.04.19 08:30:01AM;17,855;139,9;
12;04.04.19 10:30:01AM;17,855;602,8;
13;04.04.19 12:30:01PM;17,76;1980,6;
14;04.04.19 02:30:01PM;17,855;516,7;
15;04.04.19 04:30:01PM;17,665;129,2;
16;04.04.19 06:30:01PM;17,475;10,8;
17;04.04.19 08:30:01PM;17,379;21,5;
18;04.04.19 10:30:01PM;17,189;0;
19;04.05.19 12:30:01AM;16,903;0;
20;04.05.19 02:30:01AM;16,713;0;
21;04.05.19 04:30:01AM;16,618;0;
22;04.05.19 06:30:01AM;16,237;21,5;
23;04.05.19 08:30:01AM;16,141;96,9;
24;04.05.19 10:30:01AM;16,427;355,2;
25;04.05.19 12:30:01PM;16,808;172,2;
26;04.05.19 01:49:31PM;;;
27;04.05.19 01:49:46PM;;;
28;04.05.19 01:50:48PM;;;Protokolliert
29;04.05.19 02:30:01PM;17,76;172,2;
30;04.05.19 04:30:01PM;17,379;43,1;
31;04.05.19 06:30:01PM;17,284;53,8;
32;04.05.19 08:30:01PM;16,999;0;
33;04.05.19 10:30:01PM;16,808;0;
34;04.06.19 12:30:01AM;16,618;0;
35;04.06.19 02:30:01AM;16,427;0;
36;04.06.19 04:30:01AM;16,332;0;
37;04.06.19 06:30:01AM;16,237;0;
38;04.06.19 08:30:01AM;16,237;10,8;
39;04.06.19 10:30:01AM;16,618;215,3;
40;04.06.19 12:30:01PM;17,379;409;
41;04.06.19 02:30:01PM;17,76;236,8;
42;04.06.19 04:30:01PM;17,855;107,6;
43;04.06.19 04:49:27PM;;;
44;04.06.19 04:49:29PM;;;
45;04.06.19 04:51:23PM;;;
46;04.06.19 04:54:36PM;;;Protokolliert
47;04.06.19 06:30:01PM;15,951;0;
48;04.06.19 08:30:01PM;15,855;0;
49;04.06.19 10:30:01PM;15,664;0;
50;04.07.19 12:30:01AM;15,664;0;
51;04.07.19 02:30:01AM;15,664;0;
52;04.07.19 04:30:01AM;15,569;0;
53;04.07.19 06:30:01AM;15,473;0;
54;04.07.19 08:30:01AM;15,664;0;
55;04.07.19 10:30:01AM;15,664;32,3;
56;04.07.19 11:08:57AM;;;
57;04.07.19 11:09:02AM;;;
58;04.07.19 11:10:11AM;;;Protokolliert
59;04.07.19 12:30:01PM;15,951;53,8;
60;04.07.19 02:30:01PM;15,855;10,8;
61;04.07.19 04:30:01PM;15,76;10,8;
62;04.07.19 06:30:01PM;15,569;0;
63;04.07.19 06:50:34PM;;;
64;04.07.19 06:50:44PM;;;
65;04.07.19 06:51:16PM;;;
66;04.07.19 06:53:04PM;;;Protokolliert
67;04.07.19 08:30:01PM;15,664;0;
68;04.07.19 10:30:01PM;15,569;0;
69;04.08.19 12:30:01AM;15,569;0;
70;04.08.19 02:30:01AM;15,569;0;
71;04.08.19 04:30:01AM;15,473;0;
72;04.08.19 06:30:01AM;15,473;0;
73;04.08.19 08:30:01AM;15,569;0;
74;04.08.19 10:30:01AM;15,76;0;
75;04.08.19 12:30:01PM;15,855;0;
76;04.08.19 02:30:01PM;15,951;10,8;
77;04.08.19 04:30:01PM;16,046;0;
78;04.08.19 05:24:38PM;;;
79;04.08.19 05:24:42PM;;;
80;04.08.19 05:26:18PM;;;
81;04.08.19 05:26:19PM;;;Protokolliert
82;04.08.19 06:30:01PM;16,141;21,5;
83;04.08.19 08:30:01PM;16,808;0;
84;04.08.19 10:30:01PM;15,855;0;
85;04.09.19 12:30:01AM;15,76;0;
86;04.09.19 02:30:01AM;15,664;0;
87;04.09.19 04:30:01AM;15,569;0;
88;04.09.19 06:30:01AM;15,569;0;
89;04.09.19 08:30:01AM;15,473;21,5;
90;04.09.19 10:30:01AM;15,664;96,9;
91;04.09.19 12:30:01PM;15,855;290,6;
92;04.09.19 02:30:01PM;16,141;193,8;
93;04.09.19 04:30:01PM;17,094;86,1;
94;04.09.19 06:30:01PM;16,141;32,3;
95;04.09.19 08:30:01PM;15,855;0;
96;04.09.19 10:30:01PM;15,76;0;
97;04.10.19 12:30:01AM;15,664;0;
98;04.10.19 02:30:01AM;15,569;0;
99;04.10.19 04:30:01AM;15,473;0;
100;04.10.19 06:30:01AM;15,378;0;
101;04.10.19 08:30:01AM;15,378;64,6;
102;04.10.19 08:33:38AM;;;
103;04.10.19 08:35:00AM;;;
104;04.10.19 08:35:02AM;;;Protokolliert
105;04.10.19 10:30:01AM;15,951;53,8;
106;04.10.19 12:30:01PM;16,618;150,7;
107;04.10.19 02:30:01PM;16,713;10,8;
108;04.10.19 04:30:01PM;16,237;0;
109;04.10.19 06:30:01PM;16,141;0;
110;04.10.19 08:30:01PM;15,951;0;
111;04.10.19 10:30:01PM;15,855;0;
112;04.11.19 12:30:01AM;15,76;0;
113;04.11.19 02:30:01AM;15,664;0;
114;04.11.19 04:30:01AM;15,569;0;
115;04.11.19 06:30:01AM;15,473;0;
116;04.11.19 08:02:41AM;;;
117;04.11.19 08:02:42AM;;;
118;04.11.19 08:03:38AM;;;Protokolliert
119;04.11.19 08:30:01AM;15,473;0;
120;04.11.19 10:30:01AM;15,76;43,1;
121;04.11.19 12:30:01PM;16,046;43,1;
122;04.11.19 02:30:01PM;16,141;32,3;
123;04.11.19 04:30:01PM;16,141;0;
124;04.11.19 06:30:01PM;16,046;0;
125;04.11.19 08:30:01PM;16,046;0;
126;04.11.19 10:30:01PM;15,951;0;
127;04.12.19 12:30:01AM;15,76;0;
128;04.12.19 02:30:01AM;15,664;0;
129;04.12.19 04:30:01AM;15,569;0;
130;04.12.19 06:30:01AM;15,473;0;
131;04.12.19 07:40:49AM;;;
132;04.12.19 07:41:33AM;;;Protokolliert
133;04.12.19 08:30:01AM;15,569;10,8;
134;04.12.19 10:30:01AM;15,76;0;
135;04.12.19 12:30:01PM;15,855;10,8;
136;04.12.19 02:30:01PM;16,046;21,5;
137;04.12.19 04:30:01PM;16,141;10,8;
138;04.12.19 06:30:01PM;16,046;0;
139;04.12.19 07:20:59PM;;;
140;04.12.19 07:21:22PM;;;Protokolliert
141;04.12.19 08:30:01PM;16,046;0;
142;04.12.19 10:30:01PM;16,046;0;
143;04.13.19 12:30:01AM;15,951;0;
144;04.13.19 02:30:01AM;15,855;0;
145;04.13.19 04:30:01AM;15,76;0;
146;04.13.19 06:30:01AM;15,76;0;
147;04.13.19 08:30:01AM;15,76;247,6;
148;04.13.19 10:30:01AM;15,855;430,6;
149;04.13.19 10:58:11AM;;;
150;04.13.19 10:58:49AM;;;Protokolliert
151;04.13.19 12:30:01PM;16,618;107,6;
152;04.13.19 02:30:01PM;16,237;10,8;
153;04.13.19 04:30:01PM;16,046;10,8;
154;04.13.19 06:30:01PM;15,951;0;
155;04.13.19 08:30:01PM;15,855;0;
156;04.13.19 10:30:01PM;15,76;0;
157;04.14.19 12:30:01AM;15,664;0;
158;04.14.19 02:30:01AM;15,569;0;
159;04.14.19 04:30:01AM;15,569;0;
160;04.14.19 06:30:01AM;15,473;0;
161;04.14.19 08:30:01AM;15,378;0;
162;04.14.19 10:18:12AM;;;
163;04.14.19 10:18:16AM;;;
164;04.14.19 10:19:25AM;;;Protokolliert
165;04.14.19 10:30:01AM;15,378;312,2;
166;04.14.19 12:30:01PM;15,473;570,5;
167;04.14.19 02:30:01PM;15,569;441,3;
168;04.14.19 04:30:01PM;15,473;301,4;
169;04.14.19 06:30:01PM;15,473;172,2;
170;04.14.19 08:30:01PM;15,473;0;
171;04.14.19 10:30:01PM;15,378;0;
172;04.15.19 12:30:01AM;15,378;0;
173;04.15.19 02:30:01AM;15,378;0;
174;04.15.19 04:30:01AM;15,282;0;
175;04.15.19 06:30:01AM;15,282;0;
176;04.15.19 08:30:01AM;15,187;53,8;
177;04.15.19 10:30:01AM;15,282;86,1;
178;04.15.19 12:30:01PM;15,282;193,8;
179;04.15.19 02:30:01PM;15,378;301,4;
180;04.15.19 04:30:01PM;15,569;333,7;
181;04.15.19 06:30:01PM;15,569;86,1;
182;04.15.19 07:56:10PM;;;
183;04.15.19 07:56:15PM;;;
184;04.15.19 07:56:42PM;;;
185;04.15.19 07:57:25PM;;;Protokolliert
186;04.15.19 08:30:01PM;15,664;10,8;
187;04.15.19 10:30:01PM;15,76;0;
188;04.16.19 12:30:01AM;15,664;0;
189;04.16.19 02:30:01AM;15,664;0;
190;04.16.19 04:30:01AM;15,664;0;
