no; date;temp;comment
1;04.03.19 10:29:58AM;24,255;
2;04.03.19 10:30:02AM;;Protokolliert
3;04.03.19 12:29:58PM;22,908;
4;04.03.19 02:29:58PM;23,196;
5;04.03.19 04:29:58PM;18,331;
6;04.03.19 06:29:58PM;19,187;
7;04.03.19 08:29:58PM;19,567;
8;04.03.19 10:29:58PM;19,567;
9;04.04.19 12:29:58AM;19,472;
10;04.04.19 02:29:58AM;19,092;
11;04.04.19 04:29:58AM;18,711;
12;04.04.19 06:29:58AM;18,236;
13;04.04.19 08:29:58AM;17,855;
14;04.04.19 10:29:58AM;17,855;
15;04.04.19 12:29:58PM;17,189;
16;04.04.19 02:29:58PM;17,379;
17;04.04.19 04:29:58PM;17,189;
18;04.04.19 06:29:58PM;16,999;
19;04.04.19 08:29:58PM;16,903;
20;04.04.19 10:29:58PM;16,808;
21;04.05.19 12:29:58AM;16,618;
22;04.05.19 02:29:58AM;16,427;
23;04.05.19 04:29:58AM;16,332;
24;04.05.19 06:29:58AM;16,141;
25;04.05.19 08:29:58AM;16,046;
26;04.05.19 10:29:58AM;16,237;
27;04.05.19 12:29:58PM;16,523;
28;04.05.19 02:29:58PM;17,284;
29;04.05.19 04:29:58PM;16,427;
30;04.05.19 06:29:58PM;16,332;
31;04.05.19 08:29:58PM;16,141;
32;04.05.19 10:29:58PM;16,046;
33;04.06.19 12:29:58AM;15,951;
34;04.06.19 02:29:58AM;15,855;
35;04.06.19 04:29:58AM;15,76;
36;04.06.19 06:29:58AM;15,76;
37;04.06.19 08:29:58AM;15,76;
38;04.06.19 10:29:58AM;16,046;
39;04.06.19 12:29:58PM;16,523;
40;04.06.19 02:29:58PM;16,713;
41;04.06.19 04:29:58PM;16,713;
42;04.06.19 06:29:58PM;16,141;
43;04.06.19 08:29:58PM;15,951;
44;04.06.19 10:29:58PM;15,76;
45;04.07.19 12:29:58AM;15,664;
46;04.07.19 02:29:58AM;15,664;
47;04.07.19 04:29:58AM;15,569;
48;04.07.19 06:29:58AM;15,473;
49;04.07.19 08:29:58AM;15,569;
50;04.07.19 10:29:58AM;15,664;
51;04.07.19 12:29:58PM;15,951;
52;04.07.19 02:29:58PM;15,855;
53;04.07.19 04:29:58PM;15,76;
54;04.07.19 06:29:58PM;15,664;
55;04.07.19 08:29:58PM;15,664;
56;04.07.19 10:29:58PM;15,569;
57;04.08.19 12:29:58AM;15,569;
58;04.08.19 02:29:58AM;15,569;
59;04.08.19 04:29:58AM;15,473;
60;04.08.19 06:29:58AM;15,473;
61;04.08.19 08:29:58AM;15,569;
62;04.08.19 10:29:58AM;15,76;
63;04.08.19 12:29:58PM;15,855;
64;04.08.19 02:29:58PM;15,951;
65;04.08.19 04:29:58PM;16,141;
66;04.08.19 06:29:58PM;16,141;
67;04.08.19 08:29:58PM;16,332;
68;04.08.19 10:29:58PM;15,76;
69;04.09.19 12:29:58AM;15,569;
70;04.09.19 02:29:58AM;15,569;
71;04.09.19 04:29:58AM;15,473;
72;04.09.19 06:29:58AM;15,473;
73;04.09.19 08:29:58AM;15,378;
74;04.09.19 10:29:58AM;15,569;
75;04.09.19 12:29:58PM;15,76;
76;04.09.19 02:29:58PM;16,046;
77;04.09.19 04:29:58PM;17,379;
78;04.09.19 06:29:58PM;15,951;
79;04.09.19 08:29:58PM;15,76;
80;04.09.19 10:29:58PM;15,569;
81;04.10.19 12:29:58AM;15,473;
82;04.10.19 02:29:58AM;15,378;
83;04.10.19 04:29:58AM;15,282;
84;04.10.19 06:29:58AM;15,187;
85;04.10.19 08:29:58AM;15,187;
86;04.10.19 08:31:59AM;;
87;04.10.19 08:33:23AM;;Protokolliert
88;04.10.19 10:29:58AM;15,76;
89;04.10.19 12:29:58PM;16,332;
90;04.10.19 02:29:58PM;16,523;
91;04.10.19 04:29:58PM;16,046;
92;04.10.19 06:29:58PM;15,951;
93;04.10.19 08:29:58PM;15,76;
94;04.10.19 10:29:58PM;15,664;
95;04.11.19 12:29:58AM;15,569;
96;04.11.19 02:29:58AM;15,473;
97;04.11.19 04:29:58AM;15,378;
98;04.11.19 06:29:58AM;15,378;
99;04.11.19 08:29:58AM;15,378;
100;04.11.19 10:29:58AM;15,664;
101;04.11.19 12:29:58PM;15,951;
102;04.11.19 02:29:58PM;16,046;
103;04.11.19 04:29:58PM;15,951;
104;04.11.19 06:29:58PM;15,855;
105;04.11.19 08:29:58PM;15,951;
106;04.11.19 10:29:58PM;15,76;
107;04.12.19 12:29:58AM;15,664;
108;04.12.19 02:29:58AM;15,569;
109;04.12.19 04:29:58AM;15,473;
110;04.12.19 06:29:58AM;15,378;
111;04.12.19 08:29:58AM;15,569;
112;04.12.19 10:29:58AM;15,76;
113;04.12.19 12:29:58PM;15,76;
114;04.12.19 02:29:58PM;15,951;
115;04.12.19 04:29:58PM;15,951;
116;04.12.19 06:29:58PM;15,951;
117;04.12.19 08:29:58PM;16,046;
118;04.12.19 10:29:58PM;15,951;
119;04.13.19 12:29:58AM;15,855;
120;04.13.19 02:29:58AM;15,76;
121;04.13.19 04:29:58AM;15,664;
122;04.13.19 06:29:58AM;15,664;
123;04.13.19 08:29:58AM;15,664;
124;04.13.19 10:29:58AM;15,76;
125;04.13.19 12:29:58PM;16,237;
126;04.13.19 02:29:58PM;16,141;
127;04.13.19 04:29:58PM;15,951;
128;04.13.19 06:29:58PM;15,855;
129;04.13.19 08:29:58PM;15,76;
130;04.13.19 10:29:58PM;15,664;
131;04.14.19 12:29:58AM;15,569;
132;04.14.19 02:29:58AM;15,473;
133;04.14.19 04:29:58AM;15,473;
134;04.14.19 06:29:58AM;15,378;
