no;date;temp;comment
1;04.03.19 10:17:04AM;23,869;
2;04.03.19 10:17:10AM;;Protokolliert
3;04.03.19 12:17:04PM;23,388;
4;04.03.19 02:17:04PM;18,711;
5;04.03.19 04:17:04PM;18,426;
6;04.03.19 06:17:04PM;18,331;
7;04.03.19 08:17:04PM;18,14;
8;04.03.19 10:17:04PM;17,855;
9;04.04.19 12:17:04AM;17,665;
10;04.04.19 02:17:04AM;17,57;
11;04.04.19 04:17:04AM;17,284;
12;04.04.19 06:17:04AM;17,189;
13;04.04.19 08:17:04AM;17,094;
14;04.04.19 10:17:04AM;17,379;
15;04.04.19 12:17:04PM;18,996;
16;04.04.19 02:17:04PM;19,092;
17;04.04.19 04:17:04PM;18,996;
18;04.04.19 06:17:04PM;18,901;
19;04.04.19 08:17:04PM;18,806;
20;04.04.19 10:17:04PM;18,616;
21;04.05.19 12:17:04AM;18,426;
22;04.05.19 02:17:04AM;18,426;
23;04.05.19 04:17:04AM;18,236;
24;04.05.19 06:17:04AM;18,236;
25;04.05.19 08:17:04AM;18,236;
26;04.05.19 10:17:04AM;18,331;
27;04.05.19 12:17:04PM;18,616;
28;04.05.19 01:50:52PM;;
29;04.05.19 01:51:02PM;;
30;04.05.19 01:51:29PM;;Protokolliert
31;04.05.19 02:17:04PM;18,806;
32;04.05.19 04:17:04PM;18,996;
33;04.05.19 06:17:04PM;19,187;
34;04.05.19 08:17:04PM;18,901;
35;04.05.19 10:17:04PM;18,616;
36;04.06.19 12:17:04AM;18,426;
37;04.06.19 02:17:04AM;18,331;
38;04.06.19 04:17:04AM;18,426;
39;04.06.19 06:17:04AM;18,236;
40;04.06.19 08:17:04AM;18,426;
41;04.06.19 10:17:04AM;18,521;
42;04.06.19 12:17:04PM;19,092;
43;04.06.19 02:17:04PM;19,662;
44;04.06.19 04:17:04PM;19,187;
45;04.06.19 04:54:56PM;;
46;04.06.19 04:56:38PM;;
47;04.06.19 04:56:40PM;;Protokolliert
48;04.06.19 06:17:04PM;19,377;
49;04.06.19 08:17:04PM;19,282;
50;04.06.19 10:17:04PM;19,092;
51;04.07.19 12:17:04AM;18,901;
52;04.07.19 02:17:04AM;18,901;
53;04.07.19 04:17:04AM;18,806;
54;04.07.19 06:17:04AM;18,711;
55;04.07.19 08:17:04AM;18,711;
56;04.07.19 10:17:04AM;18,901;
57;04.07.19 11:10:30AM;;
58;04.07.19 11:10:33AM;;
59;04.07.19 11:11:28AM;;Protokolliert
60;04.07.19 12:17:04PM;19,282;
61;04.07.19 02:17:04PM;19,282;
62;04.07.19 04:17:04PM;19,187;
63;04.07.19 06:17:04PM;19,092;
64;04.07.19 06:53:12PM;;
65;04.07.19 06:53:22PM;;
66;04.07.19 06:54:08PM;;Protokolliert
67;04.07.19 08:17:04PM;18,996;
68;04.07.19 10:17:04PM;18,901;
69;04.08.19 12:17:04AM;18,806;
70;04.08.19 02:17:04AM;18,806;
71;04.08.19 04:17:04AM;18,806;
72;04.08.19 06:17:04AM;18,806;
73;04.08.19 08:17:04AM;18,806;
74;04.08.19 10:17:04AM;18,996;
75;04.08.19 12:17:04PM;19,092;
76;04.08.19 02:17:04PM;19,187;
77;04.08.19 04:17:04PM;19,282;
78;04.08.19 05:27:02PM;;
79;04.08.19 05:27:06PM;;
80;04.08.19 05:27:43PM;;Protokolliert
81;04.08.19 06:17:04PM;19,567;
82;04.08.19 08:17:04PM;19,567;
83;04.08.19 10:17:04PM;19,092;
84;04.09.19 12:17:04AM;18,901;
85;04.09.19 02:17:04AM;18,045;
86;04.09.19 04:17:04AM;15,664;
87;04.09.19 06:17:04AM;15,664;
88;04.09.19 08:07:16AM;;
89;04.09.19 08:17:04AM;18,901;
90;04.09.19 10:17:04AM;19,948;
91;04.09.19 12:17:04PM;21,282;
92;04.09.19 02:17:04PM;23,004;
93;04.09.19 04:17:04PM;23,1;
94;04.09.19 06:17:04PM;23,1;
95;04.09.19 08:17:04PM;22,333;
96;04.09.19 10:17:04PM;21,664;
97;04.10.19 12:17:04AM;20,996;
98;04.10.19 02:17:04AM;20,424;
99;04.10.19 04:17:04AM;19,758;
100;04.10.19 06:17:04AM;19,472;
101;04.10.19 08:17:04AM;19,092;
102;04.10.19 08:27:12AM;;Protokolliert
103;04.10.19 10:17:04AM;19,853;
104;04.10.19 12:17:04PM;20,329;
105;04.10.19 02:17:04PM;20,615;
106;04.10.19 04:17:04PM;20,043;
107;04.10.19 06:17:04PM;20,043;
108;04.10.19 07:31:34PM;;
109;04.10.19 07:32:41PM;;
110;04.10.19 07:34:29PM;;Protokolliert
111;04.10.19 08:17:04PM;19,853;
112;04.10.19 10:17:04PM;19,567;
113;04.11.19 12:17:04AM;19,377;
114;04.11.19 02:17:04AM;19,377;
115;04.11.19 04:17:04AM;19,282;
116;04.11.19 06:17:04AM;19,282;
117;04.11.19 08:03:52AM;;
118;04.11.19 08:04:44AM;;Protokolliert
119;04.11.19 08:17:04AM;19,187;
120;04.11.19 10:17:04AM;19,758;
121;04.11.19 12:17:04PM;19,853;
122;04.11.19 02:17:04PM;19,948;
123;04.11.19 04:17:04PM;20,043;
124;04.11.19 06:17:04PM;19,948;
125;04.11.19 08:17:04PM;19,853;
126;04.11.19 10:17:04PM;19,758;
127;04.12.19 12:17:04AM;19,567;
128;04.12.19 02:17:04AM;19,472;
129;04.12.19 04:17:04AM;19,377;
130;04.12.19 06:17:04AM;19,282;
131;04.12.19 07:44:42AM;;
132;04.12.19 07:44:54AM;;
133;04.12.19 07:45:40AM;;
134;04.12.19 07:45:41AM;;Protokolliert
135;04.12.19 08:17:04AM;19,282;
136;04.12.19 10:17:04AM;19,187;
137;04.12.19 12:17:04PM;19,187;
138;04.12.19 02:17:04PM;19,377;
139;04.12.19 04:17:04PM;19,282;
140;04.12.19 06:17:04PM;19,282;
141;04.12.19 07:21:47PM;;
142;04.12.19 07:22:07PM;;Protokolliert
143;04.12.19 08:17:04PM;19,567;
144;04.12.19 10:17:04PM;19,853;
145;04.13.19 12:17:04AM;19,853;
146;04.13.19 02:17:04AM;19,853;
147;04.13.19 04:17:04AM;19,758;
148;04.13.19 06:17:04AM;19,567;
149;04.13.19 08:17:04AM;19,377;
150;04.13.19 10:17:04AM;19,282;
151;04.13.19 10:58:38AM;;
152;04.13.19 10:58:39AM;;
153;04.13.19 10:59:19AM;;Protokolliert
154;04.13.19 12:17:04PM;19,853;
155;04.13.19 02:17:04PM;20,234;
156;04.13.19 04:17:04PM;20,329;
157;04.13.19 06:17:04PM;20,234;
158;04.13.19 08:17:04PM;20,043;
159;04.13.19 10:17:04PM;19,948;
160;04.14.19 12:17:04AM;19,662;
161;04.14.19 02:17:04AM;19,377;
162;04.14.19 04:17:04AM;19,092;
163;04.14.19 06:17:04AM;18,806;
164;04.14.19 08:17:04AM;18,616;
165;04.14.19 10:17:04AM;18,616;
166;04.14.19 10:20:51AM;;
167;04.14.19 10:21:04AM;;
168;04.14.19 10:22:21AM;;Protokolliert
169;04.14.19 12:17:04PM;18,616;
