no;date;temp;light;comment
1;04.03.19 10:31:31AM;23,869;53,8;
2;04.03.19 10:31:40AM;;;Protokolliert
3;04.03.19 12:31:31PM;23,196;172,2;
4;04.03.19 02:31:31PM;23,388;398,3;
5;04.03.19 04:31:31PM;20,805;129,2;
6;04.03.19 06:31:31PM;20,996;75,3;
7;04.03.19 08:31:31PM;20,901;0;
8;04.03.19 10:31:31PM;20,519;0;
9;04.04.19 12:31:31AM;20,043;0;
10;04.04.19 02:31:31AM;19,948;0;
11;04.04.19 04:31:31AM;19,472;0;
12;04.04.19 06:31:31AM;19,853;0;
13;04.04.19 08:31:31AM;19,472;172,2;
14;04.04.19 10:31:31AM;19,662;645,8;
15;04.04.19 12:31:31PM;19,662;322,9;
16;04.04.19 02:31:31PM;19,758;592;
17;04.04.19 04:31:31PM;19,948;398,3;
18;04.04.19 06:31:31PM;19,853;0;
19;04.04.19 08:31:31PM;19,567;355,2;
20;04.04.19 10:31:31PM;19,282;0;
21;04.05.19 12:31:31AM;19,187;0;
22;04.05.19 02:31:31AM;18,901;0;
23;04.05.19 04:31:31AM;18,331;0;
24;04.05.19 06:31:31AM;17,95;0;
25;04.05.19 08:31:31AM;17,475;452,1;
26;04.05.19 10:31:31AM;17,57;592;
27;04.05.19 12:31:31PM;18,14;441,3;
28;04.05.19 01:52:39PM;;;
29;04.05.19 01:52:54PM;;;Protokolliert
30;04.05.19 01:52:55PM;;;
31;04.05.19 01:52:59PM;;;
32;04.05.19 01:53:55PM;;;Protokolliert
33;04.05.19 02:31:31PM;19,187;301,4;
34;04.05.19 04:31:31PM;19,472;53,8;
35;04.05.19 06:31:31PM;20,615;86,1;
36;04.05.19 08:31:31PM;20,329;0;
37;04.05.19 10:31:31PM;20,234;0;
38;04.06.19 12:31:31AM;20,043;0;
39;04.06.19 02:31:31AM;20,043;0;
40;04.06.19 04:31:31AM;19,853;0;
41;04.06.19 06:31:31AM;19,853;0;
42;04.06.19 08:31:31AM;19,948;21,5;
43;04.06.19 10:31:31AM;20,043;419,8;
44;04.06.19 12:31:31PM;20,234;807,3;
45;04.06.19 02:31:31PM;20,71;409;
46;04.06.19 04:31:31PM;20,901;193,8;
47;04.06.19 06:31:31PM;21,282;64,6;
48;04.06.19 08:31:31PM;21,091;0;
49;04.06.19 10:31:31PM;20,615;0;
50;04.07.19 12:31:31AM;20,519;0;
51;04.07.19 02:31:31AM;20,234;0;
52;04.07.19 04:31:31AM;19,948;0;
53;04.07.19 06:31:31AM;19,567;0;
54;04.07.19 08:31:31AM;19,282;258,3;
55;04.07.19 10:31:31AM;19,662;1980,6;
56;04.07.19 12:31:31PM;22,812;699,7;
57;04.07.19 02:31:31PM;22,812;129,2;
58;04.07.19 04:31:31PM;22,812;129,2;
59;04.07.19 06:31:31PM;22,717;21,5;
60;04.07.19 08:31:31PM;21,951;0;
61;04.07.19 10:31:31PM;21,855;0;
62;04.08.19 12:31:31AM;21,855;0;
63;04.08.19 02:31:31AM;21,855;0;
64;04.08.19 04:31:31AM;21,951;0;
65;04.08.19 06:31:31AM;21,855;0;
66;04.08.19 08:31:31AM;21,855;21,5;
67;04.08.19 10:31:31AM;22,046;226;
68;04.08.19 12:31:31PM;22,142;226;
69;04.08.19 02:31:31PM;22,142;538,2;
70;04.08.19 04:31:31PM;22,238;516,7;
71;04.08.19 06:31:31PM;22,238;505,9;
72;04.08.19 08:31:31PM;22,142;0;
73;04.08.19 10:31:31PM;22,142;0;
74;04.09.19 12:31:31AM;22,046;0;
75;04.09.19 02:31:31AM;22,046;0;
76;04.09.19 04:31:31AM;21,855;0;
77;04.09.19 06:31:31AM;21,855;32,3;
78;04.09.19 08:31:31AM;21,855;96,9;
79;04.09.19 10:31:31AM;21,951;269,1;
80;04.09.19 12:31:31PM;22,142;979,5;
81;04.09.19 02:31:31PM;22,333;484,4;
82;04.09.19 04:31:31PM;22,429;828,8;
83;04.09.19 06:31:31PM;22,333;64,6;
84;04.09.19 08:31:31PM;22,142;0;
85;04.09.19 10:31:31PM;21,951;0;
86;04.10.19 12:31:31AM;21,951;0;
87;04.10.19 02:31:31AM;21,855;0;
88;04.10.19 04:31:31AM;21,76;0;
89;04.10.19 06:31:31AM;21,76;0;
90;04.10.19 08:31:31AM;21,76;236,8;
91;04.10.19 08:35:33AM;;;
